,Image Id,Num. of Cells,Per-Cell Area,Centroid,Dens. of Cells
7,E11_11-12,75,1581,"(213.1707779886148, 1023.4123972169513)",4.9735275705843034e-05
8,E11_11-12,75,1564,"(247.48721227621485, 1091.4705882352941)",4.9735275705843034e-05
9,E11_11-12,75,5152,"(261.89712732919253, 741.0003881987577)",4.9735275705843034e-05
10,E11_11-12,75,1384,"(260.09393063583815, 969.2369942196532)",4.9735275705843034e-05
11,E11_11-12,75,5756,"(310.95604586518414, 370.85371785962474)",4.9735275705843034e-05
12,E11_11-12,75,6823,"(345.3020665396453, 551.5063754946505)",4.9735275705843034e-05
13,E11_11-12,75,707,"(357.6718528995757, 254.15558698727017)",4.9735275705843034e-05
14,E11_11-12,75,1964,"(372.99236252545825, 688.7219959266803)",4.9735275705843034e-05
15,E11_11-12,75,788,"(375.3147208121827, 757.3565989847716)",4.9735275705843034e-05
16,E11_11-12,75,5782,"(412.9169837426496, 51.138706329989624)",4.9735275705843034e-05
17,E11_11-12,75,3575,"(421.8553846153846, 317.56335664335666)",4.9735275705843034e-05
18,E11_11-12,75,1575,"(407.80825396825395, 451.4069841269841)",4.9735275705843034e-05
19,E11_11-12,75,1961,"(408.75828658847524, 887.6802651708313)",4.9735275705843034e-05
20,E11_11-12,75,3791,"(423.25877077288317, 173.02189395937748)",4.9735275705843034e-05
21,E11_11-12,75,1315,"(429.64562737642586, 367.1368821292776)",4.9735275705843034e-05
22,E11_11-12,75,928,"(431.95366379310343, 738.7693965517242)",4.9735275705843034e-05
23,E11_11-12,75,513,"(456.6237816764133, 748.8089668615985)",4.9735275705843034e-05
24,E11_11-12,75,5320,"(503.9656015037594, 813.1176691729323)",4.9735275705843034e-05
25,E11_11-12,75,1614,"(477.5582403965304, 497.80978934324656)",4.9735275705843034e-05
26,E11_11-12,75,140,"(460.0857142857143, 727.7642857142857)",4.9735275705843034e-05
27,E11_11-12,75,3754,"(507.37586574320727, 257.17874267448053)",4.9735275705843034e-05
28,E11_11-12,75,2674,"(482.151832460733, 900.3863126402393)",4.9735275705843034e-05
29,E11_11-12,75,3131,"(519.5544554455446, 431.82880868732036)",4.9735275705843034e-05
30,E11_11-12,75,2112,"(517.4535984848485, 347.53835227272725)",4.9735275705843034e-05
31,E11_11-12,75,1061,"(528.6107445805843, 686.636192271442)",4.9735275705843034e-05
32,E11_11-12,75,3318,"(572.9716696805305, 919.035864978903)",4.9735275705843034e-05
33,E11_11-12,75,838,"(584.6766109785203, 805.9868735083533)",4.9735275705843034e-05
34,E11_11-12,75,3164,"(596.7462073324905, 1047.3182680151706)",4.9735275705843034e-05
35,E11_11-12,75,1467,"(605.9897750511248, 760.910702113156)",4.9735275705843034e-05
36,E11_11-12,75,3660,"(628.8964480874317, 197.0606557377049)",4.9735275705843034e-05
37,E11_11-12,75,2593,"(642.0632472040108, 476.1276513690706)",4.9735275705843034e-05
38,E11_11-12,75,1111,"(634.5094509450945, 530.3933393339333)",4.9735275705843034e-05
39,E11_11-12,75,2800,"(642.3810714285714, 787.2321428571429)",4.9735275705843034e-05
40,E11_11-12,75,2065,"(646.7990314769976, 879.3302663438257)",4.9735275705843034e-05
41,E11_11-12,75,1010,"(647.2643564356435, 650.649504950495)",4.9735275705843034e-05
42,E11_11-12,75,1716,"(662.9114219114219, 359.5238927738928)",4.9735275705843034e-05
43,E11_11-12,75,1672,"(656.180023923445, 682.0287081339712)",4.9735275705843034e-05
44,E11_11-12,75,6541,"(685.1678642409418, 964.9992355908882)",4.9735275705843034e-05
45,E11_11-12,75,1050,"(717.5114285714286, 71.92666666666666)",4.9735275705843034e-05
46,E11_11-12,75,1190,"(716.0705882352942, 770.9302521008403)",4.9735275705843034e-05
47,E11_11-12,75,4744,"(742.3891231028667, 861.031408094435)",4.9735275705843034e-05
48,E11_11-12,75,1677,"(788.5754323196184, 868.1437090041741)",4.9735275705843034e-05
49,E11_11-12,75,10696,"(845.0862939416604, 1027.2887995512342)",4.9735275705843034e-05
50,E11_11-12,75,1670,"(830.459880239521, 1149.2059880239522)",4.9735275705843034e-05
51,E11_11-12,75,2409,"(849.95599833956, 328.39310917393107)",4.9735275705843034e-05
52,E11_11-12,75,1387,"(837.5609228550829, 851.8478731074262)",4.9735275705843034e-05
53,E11_11-12,75,2093,"(856.7802197802198, 918.2355470616341)",4.9735275705843034e-05
54,E11_11-12,75,5174,"(886.9429841515268, 59.11944337069965)",4.9735275705843034e-05
55,E11_11-12,75,6519,"(901.5174106458046, 494.8760546096027)",4.9735275705843034e-05
56,E11_11-12,75,4253,"(936.8495179873031, 1117.8097813308252)",4.9735275705843034e-05
57,E11_11-12,75,1566,"(921.4744572158365, 861.1219667943806)",4.9735275705843034e-05
58,E11_11-12,75,2623,"(933.7232176896683, 724.5291650781547)",4.9735275705843034e-05
59,E11_11-12,75,858,"(926.981351981352, 1020.1025641025641)",4.9735275705843034e-05
60,E11_11-12,75,795,"(971.2691823899371, 992.4666666666667)",4.9735275705843034e-05
61,E11_11-12,75,1939,"(995.3682310469314, 938.4326972666323)",4.9735275705843034e-05
62,E11_11-12,75,6712,"(1040.560190703218, 1041.26057806913)",4.9735275705843034e-05
63,E11_11-12,75,3863,"(1010.30727413927, 602.024333419622)",4.9735275705843034e-05
64,E11_11-12,75,3436,"(1026.878055878929, 892.5410360884749)",4.9735275705843034e-05
65,E11_11-12,75,4586,"(1065.3907544701265, 500.6229829917139)",4.9735275705843034e-05
66,E11_11-12,75,3677,"(1048.7788958389992, 707.223279847702)",4.9735275705843034e-05
67,E11_11-12,75,2582,"(1056.7862122385748, 97.42641363284275)",4.9735275705843034e-05
68,E11_11-12,75,2094,"(1088.11700095511, 848.5477554918816)",4.9735275705843034e-05
69,E11_11-12,75,50,"(1064.6, 879.36)",4.9735275705843034e-05
70,E11_11-12,75,1811,"(1079.768636112645, 911.9011595803423)",4.9735275705843034e-05
71,E11_11-12,75,1910,"(1089.223560209424, 994.5387434554974)",4.9735275705843034e-05
72,E11_11-12,75,812,"(1098.731527093596, 611.3682266009852)",4.9735275705843034e-05
73,E11_11-12,75,1407,"(1124.3688699360341, 922.727789623312)",4.9735275705843034e-05
74,E11_11-12,75,1782,"(1188.257014590348, 1171.7553310886644)",4.9735275705843034e-05
75,E11_11-12,75,1689,"(1192.2788632326822, 463.8134991119005)",4.9735275705843034e-05
1,E11_11-13,80,1461,"(39.050650239561946, 60.880903490759756)",5.3050960752899236e-05
2,E11_11-13,80,4449,"(153.60193301865587, 1038.2227466846482)",5.3050960752899236e-05
3,E11_11-13,80,1709,"(151.76301930953775, 725.7483908718549)",5.3050960752899236e-05
4,E11_11-13,80,1411,"(178.16017009213323, 651.9922041105599)",5.3050960752899236e-05
5,E11_11-13,80,709,"(182.38928067700988, 1142.607898448519)",5.3050960752899236e-05
