,Image Id,Num. of Cells,Per-Cell Area,Centroid,Dens. of Cells
44,Result_U-Net_E11_11-10,76,297,"(643.6969696969697, 538.5353535353536)",5.039841271525427e-05
45,Result_U-Net_E11_11-10,76,5304,"(676.190233785822, 969.8463423831071)",5.039841271525427e-05
46,Result_U-Net_E11_11-10,76,1277,"(712.6711041503523, 72.44087705559906)",5.039841271525427e-05
47,Result_U-Net_E11_11-10,76,433,"(718.1385681293302, 759.6789838337182)",5.039841271525427e-05
48,Result_U-Net_E11_11-10,76,1691,"(743.3282081608515, 833.3140153755174)",5.039841271525427e-05
49,Result_U-Net_E11_11-10,76,1422,"(737.3129395218003, 898.4711673699015)",5.039841271525427e-05
50,Result_U-Net_E11_11-10,76,874,"(736.0663615560641, 966.4782608695652)",5.039841271525427e-05
51,Result_U-Net_E11_11-10,76,8040,"(855.0594527363185, 1047.0365671641791)",5.039841271525427e-05
52,Result_U-Net_E11_11-10,76,1891,"(831.267583289265, 1149.0052882072978)",5.039841271525427e-05
53,Result_U-Net_E11_11-10,76,2267,"(845.1041023378915, 332.7163652404058)",5.039841271525427e-05
54,Result_U-Net_E11_11-10,76,1313,"(839.5453160700686, 850.6725057121097)",5.039841271525427e-05
55,Result_U-Net_E11_11-10,76,4567,"(883.2796146266696, 49.11276549156996)",5.039841271525427e-05
56,Result_U-Net_E11_11-10,76,2345,"(866.1560767590619, 919.887420042644)",5.039841271525427e-05
57,Result_U-Net_E11_11-10,76,6197,"(903.3020816524124, 493.8964014845893)",5.039841271525427e-05
58,Result_U-Net_E11_11-10,76,1865,"(922.005361930295, 864.9029490616622)",5.039841271525427e-05
59,Result_U-Net_E11_11-10,76,3875,"(937.5842580645161, 1116.1909677419355)",5.039841271525427e-05
60,Result_U-Net_E11_11-10,76,2616,"(933.6269113149847, 729.9625382262997)",5.039841271525427e-05
61,Result_U-Net_E11_11-10,76,425,"(922.9247058823529, 1012.1976470588236)",5.039841271525427e-05
62,Result_U-Net_E11_11-10,76,715,"(971.7384615384616, 992.9594405594405)",5.039841271525427e-05
63,Result_U-Net_E11_11-10,76,830,"(993.033734939759, 23.818072289156625)",5.039841271525427e-05
64,Result_U-Net_E11_11-10,76,1581,"(1000.4288425047438, 943.989247311828)",5.039841271525427e-05
65,Result_U-Net_E11_11-10,76,3420,"(1012.8824561403509, 602.3055555555555)",5.039841271525427e-05
66,Result_U-Net_E11_11-10,76,6164,"(1042.4910772225828, 1041.698085658663)",5.039841271525427e-05
67,Result_U-Net_E11_11-10,76,2368,"(1030.0658783783783, 893.1076858108108)",5.039841271525427e-05
68,Result_U-Net_E11_11-10,76,4286,"(1063.5004666355576, 500.00956602893143)",5.039841271525427e-05
69,Result_U-Net_E11_11-10,76,3748,"(1053.1534151547492, 707.4348986125934)",5.039841271525427e-05
70,Result_U-Net_E11_11-10,76,2845,"(1056.8896309314587, 97.5177504393673)",5.039841271525427e-05
71,Result_U-Net_E11_11-10,76,1914,"(1077.9012539184953, 909.4367816091954)",5.039841271525427e-05
72,Result_U-Net_E11_11-10,76,2295,"(1086.0736383442265, 1001.111982570806)",5.039841271525427e-05
73,Result_U-Net_E11_11-10,76,2183,"(1104.2267521759047, 855.5006871278058)",5.039841271525427e-05
74,Result_U-Net_E11_11-10,76,796,"(1101.609296482412, 613.5150753768844)",5.039841271525427e-05
75,Result_U-Net_E11_11-10,76,1639,"(1124.758389261745, 921.5326418547895)",5.039841271525427e-05
76,Result_U-Net_E11_11-10,76,2046,"(1194.6505376344087, 462.8333333333333)",5.039841271525427e-05
1,Result_U-Net_E11_11-11,73,1288,"(35.68944099378882, 59.19021739130435)",4.840900168702055e-05
2,Result_U-Net_E11_11-11,73,6350,"(69.47417322834646, 200.10425196850395)",4.840900168702055e-05
3,Result_U-Net_E11_11-11,73,6631,"(173.81767455889008, 1035.9229377167849)",4.840900168702055e-05
4,Result_U-Net_E11_11-11,73,1905,"(155.57742782152232, 725.5485564304462)",4.840900168702055e-05
5,Result_U-Net_E11_11-11,73,1427,"(171.2634898388227, 789.1114225648213)",4.840900168702055e-05
6,Result_U-Net_E11_11-11,73,1571,"(176.76766390833865, 654.209420751114)",4.840900168702055e-05
7,Result_U-Net_E11_11-11,73,1600,"(201.636875, 1138.25)",4.840900168702055e-05
8,Result_U-Net_E11_11-11,73,542,"(206.26568265682656, 760.789667896679)",4.840900168702055e-05
9,Result_U-Net_E11_11-11,73,1170,"(245.5, 1089.5521367521367)",4.840900168702055e-05
